"Code site ","Commune","Technologie","Adresse","LONGITUDE","LATITUDE","Date de mise en service"
"4A10X137","BOUIRA","2G/3G/4G","“ZI BOUIRA 2” Zone industrielle de Bouira W.BOUIRA","3.88376","36.39167","42712"
"4A10X005","BOUIRA","2G/3G/4G","RUE GHERIBI GHEMRAOUI IMMEUBLE KHEROUF MOUSSA , BOUIRA","3.8998","36.3782","22-Nov-16"
"4A10X007","BOUIRA","2G/3G/4G","Villa sise à Bouira, Section 57, Groupe de Propriété 111, Commune et Daïra de Bouira / (W) de Bouira","3.8853","36.3758","17-Nov-16"
"4A10X093","BOUIRA","2G/3G/4G","Hay Kouizi Said Lot n° 18Bouira ","3.8919","36.3758","28-Nov-16"
"4A10X094","BOUIRA","2G/3G/4G","RUE 17 OCTOBRE COMMUNE DE BOUIRA WILAYA DE BOUIRA.","3.9049","36.3750","17-Nov-16"
"4A10X127","BOUIRA","2G/3G/4G","Cité Ouled Boutoula section 15 ilot de propriété 238 appt n° 13 commune de Bouira","3.8770","36.3703","7-Dec-16"
"4A10X039","BOUIRA","2G/3G/4G","Villa sise au Lieudit Draa El Bordj Est, N° 137, Commune de Bouira / (W) de Bouira","3.8971","36.3708","9-Jan-17"
"4A10X159","BOUIRA","3G4G","Villa sise au Lotissement 158, N° 12, Ouled Bouchia, Commune de Bouira / (W) de Bouira","3.9011","36.3566","20-Nov-16"
"4A10X103","BOUIRA","2G/3G/4G","CITE 338 LOT N° 213 BOUIRA","3.8815","36.3867","3-Apr-17"
"4A10X001","BOUIRA","2G/3G/4G","14,LOTISSEMENT HOCINI BENABDELLAH RAS BOUIRA","3.9099","36.3707","16-Nov-16"
"4A10M161","BOUIRA","2G/3G/4G"," Uno Bouira ","3.8840","36.3920","1-Dec-16"
"4A10X006","BOUIRA","2G/3G/4G","RUE EL ARBAS ALI, BOUIRA","3.8921","36.3802","11-Jul-21"
"4A10X119","BOUIRA","2G/3G/4G","COMMUNE DE BOUIRA ILOT DE PROPRIETE N°67 SECTION 40 LIEU DIT 166 LOGEMENT -BOUIRA","3.8798","36.3820","27-Jun-18"
"4A10X115","BOUIRA","2G/3G/4G","RUE AMROUCHE MOULOUD N° 76 CHATEAU D’EAU W . BOUIRA","2.8452","36.3834","12-Feb-19"
"4A10X128","BOUIRA","2G/3G/4G","Lieu dit Kadat ""A"" 30 groupe de propriété n° 02 commune de Bouira","2.8452","36.3900","12-Feb-19"
"4A10X105","BOUIRA","2G/3G/4G","Haouche El mounadiline, Thameur .W BOUIRA","3.9364","36.3381","9-May-20"
"4A10X173","BOUIRA","2G/3G/4G","Terrain sis au Lotissement dit 212 Lots, Section 16, Groupe de Propriété 180, Commune et Daïra de Bouira / (W) de Bouira","3.8955","36.3527","8-Jun-20"
"4A10X023","EL ASNAM","2G/3G/4G","Route Nationale N°5, El-Asnam - Bouira","4.0079","36.3236","27-Jun-18"
"4A10X036","EL ASNAM","2G4G","HOTEL DJURDJURA DE TIKEDJDA","4.1277","36.4482","23-Jul-20"
"4A10X020","GUERROUMA","2G/3G/4G","Terrain sis à Coté de l'Ancien Siège de l'APC de Guerrouma, Commune de Guerrouma / (W) de Bouira","3.4282","36.4335","9-Sep-20"
"4A10X068","KADIRIA","2G/3G/4G","CENTRE KADIRIA , LAKHDARIA , BOUIRA","3.6828","36.5318","28-Nov-21"
"4A10X017","KADIRIA","2G/3G/4G","Villa sise à la Zone Urbaine, Lieudit Cité 215 Lots, Section 09, Groupe de Propriété 106, Commune de Kadiria / (W) de Bouira","3.6789","36.5373","24-Aug-21"
"4A10X130","KADIRIA","2G/3G/4G","Villa sise à la Cité 215 Habitations, Section 09, Groupe de Propriété 177, Commune de Kadiria / (W) de Bouira","3.6744","36.5355","30-Sep-21"
"4A10X033","HANIF","2G/3G/4G","AHNIF CENTRE","4.2576","36.3299","31-Dec-20"
"4A10X107","HANIF","2G/3G/4G","Lieu dit Thine Nath Bouthi village Tiksrai commune d’Ahnif","4.2251","36.2762","31-Dec-20"
"4A10X031","AIT LAAZIZ","2G/3G/4G","IGIL BOUMOUREN AIT LAAZIZ , Bouira","3.8820","36.4271","9-Jul-20"
"4A10X096","AIT LAAZIZ","2G/3G/4G","VILLAGE KESSARA AIT LAAZIZ BOUIRA","3.9022","36.4437","12-Aug-20"
"4A10X118","TAGHZOUT","2G/3G/4G","COMMUNE DE TAGHZOUT N°58-BOUIRA","3.95872","36.4067","24-Aug-21"
"4A10X022","HAIZER","2G/3G/4G","Terrain à Coté Piscine Haizer. W BOUIRA","3.9978","36.3974","15-Sep-20"
"4A10X188","HAIZER","3G4G","Terrain sis au Lieudit Ighir Zouguaghène, Commune de Haizer / (W) de Bouira","4.0584","36.4641","22-Nov-21"
"4A10X066","HAIZER","2G/3G/4G","ABESSANE OU ROMBLI VILLAGE TIGHILT N'SEKSOU COMMUNE DE HAIZER BOUIRA ","3.9960","36.4110","25-Jun-20"
"4A10X018","LAKHDARIA","2G/3G/4G","RUE CHOUDAR LAKHDAR COMMUNE LAKHDARIA","3.5955","36.5660","12-Apr-17"
"4A10X032","LAKHDARIA","2G/3G/4G","RUE ALI MAGHRAOUI LAKHDARIA","3.5825","36.5664","12-Apr-17"
"4A10X043","LAKHDARIA","2G/3G/4G","RUE 17 OCTOBRE LAKHDARIA BOUIRA ","3.5983","36.5610","9-Apr-17"
"4A10X087","LAKHDARIA","2G/3G/4G","HAI MIKHAZENI COMMUNE AKHDARIA BOUIRA","3.5983","36.5746","10-Apr-17"
"4A10X099","LAKHDARIA","2G/3G/4G","ROUTE NATIONAL N°5 LAKHDARIA CENTRE","3.5890","36.5661","9-Apr-17"
"4A10X117","LAKHDARIA","2G/3G/4G","COMMUNE DE LAKHDARIA RUE DE LA GARE N°14-BOUIRA","3.5895","36.5621","9-Apr-17"
"4A10X010","LAKHDARIA","2G/3G/4G","VILLAGE BOURABACHE, A COTE DE L'ECOLE DE BOURABACHE, COMMUNE DE LAKHDARIA","3.6024","36.5372","31-Mar-21"
"4A10X129","LAKHDARIA","2G/3G/4G","Village Zberboura n° 04 commune de Lakhdaraia Bouira","3.6412","36.5582","5-Apr-21"
"4A10X095","LAKHDARIA","2G/3G/4G","Terrain sis au Lieudit BOUNESHANE, Commune de Kharouba, Daïra de Boudouaou / (W) de Boumerdès  ","3.5650","36.5963","18-Aug-20"
"4A10X019","LAKHDARIA","2G/3G/4G","VILLAGE DRABLIA BOUDERBALA - BOUIRA","3.5219","36.5727","4-Apr-21"
"4A10X084","MAALA","2G/3G/4G","Lieu dit Hammam commune de Maala Lakhdaria El Mazaachia","3.5708","36.4935","4-Apr-21"
"4A10X027","EL HACHIMIA","2G/3G/4G","Lot de terrain à cote du siege des patriotes Route de hammam k'sana El hachimia ","3.8186","36.2175","24-Nov-19"
"4A10X070","EL HACHIMIA","2G/3G/4G","ED DRAA COMMUNE HACHIMIA DAIRA HACHIMIA BOUIRA ","3.8125","36.2175","3-Feb-20"
"4A10X190","BOUIRA","3G4G","Station Mobile Ouled Kfif Aomar Bouira ","3.7595","36.5164","25-Jul-21"
"4A10X126","AOMAR","2G/3G/4G","“BOURI KACI” Village Aomar . W.BOUIRA","3.7708","36.4912","4-Apr-21"
"4A10X041","AOMAR","2G/3G/4G","SOUADEK EL KALOUS OMAR BOUIRA","3.8346","36.4743","6-Jan-20"
"4A10X028","CHORFA","2G/3G/4G","TABAALTE KHELIDJA CHORFA CENTRE","4.3205","36.3619","31-Dec-20"
"4A10X073","CHORFA","2G/3G/4G","CHORFA CENTRE, MECHDALLAH W.BOUIRA","4.3285","36.3612","31-Dec-20"
"4A10X088","EL ADJIBA","2G/3G/4G","Lieu dit Semache Commune Al Adjiba daira de Bachloul Bouira","4.1565","36.3512","12-Sep-18"
"4A10X065","EL ADJIBA","2G/3G/4G","TIGHILT N'IGHREM VILLAGEIGHRM COMMUNE AHNEF BOUIRA","4.1860","36.3390","31-Dec-20"
"4A10X034","EL ADJIBA","2G/3G/4G","Villa sise à El adjiba Centre, Section 24, Groupe de Propriété 78, Commune d'El Adjiba / (W) de Bouira","4.1547","36.3289","30-Dec-20"
"4A10X142","AHL EL KSAR","2G/3G/4G","HUILERIE AHL EL KASAR W.BOUIRA","4.0395","36.2617","4-Aug-21"
"4A10X085","ZBARBAR","2G/3G/4G","LIEU NOMME ECHRAYE LOT N° 02COMMUNE6ZBARBAR BOUIRA","3.5166","36.4897","15-Sep-20"
"4A10X013","DJEBAHIA","2G/3G/4G","LotS 170 Commune de djebahia.BOUIRA","3.7606","36.4784","4-Apr-21"
"4A10X116","DJEBAHIA","2G/3G/4G","AIN LAZRA COMMUNE DE DJEBAHIA DAIRA DE KADIRIA BOUIRA","3.7330","36.4674","20-Jun-21"
"4A10X011","DJEBAHIA","2G/3G/4G","R.N 5 Boulerbah – Djabahia. W BOUIRA","3.7153","36.4909","4-Aug-21"
"4A10X104","DJEBAHIA","2G/3G/4G","Terrain Particulier sis à Ben Haroune, Commune de Djebahia / (W) de Bouira","3.7736","36.4533","9-Aug-21"
"4A10X029","AGHBALOU","2G/3G/4G","VILLAGE TEKERBOUST COMMUNE DE AGHBALOU DAIRA DE MECHDELLAH","4.3454","36.4220","3-Feb-21"
"4A10X112","AGHBALOU","2G/3G/4G","Village BAHALIL Commune AGHBALOU W.BOUIRA","4.3662","36.4175","31-Dec-20"
"4A10X083","AIN TURK","2G/3G/4G","AKHLIFITEN COMMUNE AIN TURK BOUIRA N°14","3.8191","36.3912","20-May-19"
"4A10X174","AIN TURK","2G/3G/4G","Villa sise au Village Ibougherdanen, Commune d'Ait Laaziz / (W) de Bouira","3.8311","36.4418","9-Sep-21"
"4A10X049","SAHARIDJ","2G/3G/4G","AGGACHE COMMUNE DE SAHARIDJ AU LIEU DIT THIZI AGGACHE BOUIRA","4.2466","36.3892","14-Mar-21"
"4A10X035","BECHLOUL","2G/3G/4G","ECOLE CHERRARAK BECHLOUL ""Derriere Ecole Primaire""","4.0666","36.3134","21-Apr-21"
"4A10X071","BECHLOUL","2G/3G/4G","OULED ANBOUB COMMUNE BECHLOUL BOUIRA ","4.0446","36.3089","31-Mar-21"
"4A10X139","BECHLOUL","2G/3G/4G","“Ouled Bedjkhikhen” BECHLOUL W.BOUIRA","4.0988","36.3107","21-Apr-21"
"4A10X086","BOUKRAM","2G/3G/4G","Zima Village Karbache Commune de Boukram Bouira","3.3846","36.5542","24-Aug-21"
"4A10X014","AIN BESSAM","2G/3G/4G","CITE DES JARDINS COMMUNE DE AIN BESSAM","3.6792","36.2981","18-Aug-20"
"4A10X069","AIN BESSAM","2G/3G/4G","LOTISSEMENT 260 LOGTS ROUTE EL HACHIMIA N°43 AIN BESSEM BOUIRA ","3.6763","36.2883","31-Dec-20"
"4A10X038","AIN BESSAM","2G/3G/4G"," RUE COMMANDANT SI LAKHDER COMMUNE AIN BESSAM W-BOUIRA","3.6738","36.2937","31-Dec-20"
"4A10X125","AIN BESSAM","2G/3G/4G","HAI SENNOUSSI ALI N°157 AIN BESSAM W. BOUIRA","3.6679","36.2978","31-Dec-20"
"4A10X123","AIN BESSAM","2G/3G/4G","PROMOTION IMMOBILIERE COMMUNE DE AIN BESSAM-BOURA","3.6798","36.2942","3-Feb-21"
"4A10X171","AIN BESSAM","3G4G","Villa sise à la Rue Commandant Si Lakhdar, Lot N° 01, Commune d'Ain Bessam / (W) de Bouira","3.6682","36.2901","21-Apr-21"
"4A10X074","BIR GHBALOU","2G/3G/4G","Villa sise à Bir Ghbalou Centre, Lot N° 467/02, Commune de Bir Ghbalou / (W) de Bouira","3.5885","36.2617","12-Jul-20"
"4A10X016","MCHEDALLAH","2G/3G/4G","10100 OULED BRAHIM M'CHEDALLAH W-BOUIRA","4.2682","36.3622","27-Jun-18"
"4A10X063","MCHEDALLAH","2G/3G/4G","VILLAGE RAFOR,COMMUNE DE MECHDELLAH,BOUIRA","4.2885","36.3531","30-Dec-20"
"4A10X156","MCHEDALLAH","2G/3G/4G","Villa N° 12, M'Chdellah, Commune et Daira de M'Chdellah / (W) de Bouira","4.2667","36.3524","31-Dec-20"
"4A10X012","SOUR EL GHOZLANE","2G/3G/4G","Reservoir , Sour El Ghozlane , Bouira.","3.6984","36.1395","26-Mar-17"
"4A10X037","SOUR EL GHOZLANE","2G/3G/4G","SOUR EL GHOZLANE EXTENSION 04 LOT N°03 DE BOUIRA ","3.6877","36.1436","26-Mar-17"
"4A10X062","SOUR EL GHOZLANE","2G/3G/4G","“SOUR EL GHOZLANE 3” RUE AMIR AEK N 14 SOUR EL GHOZLANE W.BOUIRA","3.6920","36.1499","26-Mar-17"
"4A10X113","SOUR EL GHOZLANE","2G/3G/4G","Lachborg Sour el ghozlane.W Bouira","3.6956","36.1474","26-Mar-17"
"4A10X124","SOUR EL GHOZLANE","2G/3G/4G","Cité DRAA LAHMAR-SOUR EL GHOZLANE","3.6882","36.1592","30-Mar-17"
"4A10X131","SOUR EL GHOZLANE","2G/3G/4G","CITE SI HAMMIDOU,COMMUNE DE SOUR EL GHOZLANE N°5-BOUIRA","3.6820","36.1456","26-Mar-17"
"4A10X133","SOUR EL GHOZLANE","2G/3G/4G","“RUE DU COMMERCE” Sour El Ghozlane .W BOUIRA","3.6898","36.1473","26-Mar-17"
"4A10X044","SOUR EL GHOZLANE","2G/3G/4G","SOCIETE DES CIMENTS DE SOUR EL GHOZLANE BOUIRA ","2.8452","36.1823","5-Feb-19"
"4A10X050","OULED RACHED","2G/3G/4G","OULED RACHED CENTRE BOUIRA","4.10935","36.2109","4-Aug-21"
"4A10X040","ATH MANSOUR","2G/3G/4G","QUATA THAOURIRT COMMUNE DE ATH MANSOUR BOUIRA ","4.3031","36.3286","31-Dec-20"
"4A10X064","ATH MANSOUR","2G/3G/4G","ATH ZEGANE COMMUNE ATH MANSOUR BOUIRA","4.31617","36.3298","10-May-21"
"4A10X030","OUED EL BERDI","2G/3G/4G","OUED EL BERDILOT 14 PROPRIETE 58 BOUIRA","3.89166","36.2731","22-Nov-21"
"4A10X150","BOUIRA","3G4G","Terrain sis au Complexe Sportif Rabah Bitat, Commune de BOUIRA / (W) de BOUIRA","3.8752","36.3804","27-Jan-22"
"4A10X047","RAOURAOUA","2G/3G/4G","RUE PRINCIPALE COMMUNE DE RAOURAOUA WILAYA DE BOUIRA ","3.6463","36.2354","19-Jun-22"
"4A10X122","AHL EL KSAR","2G/3G/4G","Lieu dit Achir commune Ahl Lakser daira de Bachloul Bouira","4.0420","36.2480","19-Jun-22"
"4A10X185","SOUR EL GHOZLANE","2G/3G/4G","Villa sise à la Cité Mebarki Saidi (Ex Ain Omar), Commune de Sour El Ghozlane / (W) de Bouira","3.6972","36.1317","14-Jul"
"4A10X082","EL MOKRANI","2G/3G/4G","Lieu dit Oum Dachra village Ouled Chrif commune d’El Mokrani","3.6079","36.4199","03/10/2022"
"4A10X121","SAHARIDJ","2G/3G/4G","lieu dit Tinkicht village Beni Hamad commune de Saharidj Mechdalah","4.2123","36.4104","22-Sep"
"3A10WX172","BOUIRA","3G","Villa sise à la Cité Zerrouki, Commune de Bouira / (W) de Bouira","3.8976","36.3673","30-Mar-16"
"3A10X114","BOUIRA","2G3G","Commune de Bouira lotissement n° 32 section 73 groupe n° 25","3.9054","36.3707","30-Mar-15"
"3A10X002","BOUIRA","2G3G","Réservoir 2x1500 Kiffane Lamamra , Bouira","3.9029","36.3679","11-Mar-15"
"3A10M163","BOUIRA","2G3G","Spa Numilog, Village Nessis, Ouled Botolba, Commune et Wilaya de Bouira"," 3.8418"," 36.366","18-Jan-18"
"3A10X187","BOUIRA","3G","Terrain Particulier sis au Lieudit 16 Lots, Ras Bouira, Commune de Bouira / (W) de Bouira","3.912742 ","36.3642","11-Aug-22"
"3A10X146","GUERROUMA","2G3G","Terrain sis au Village Ain El Beida, Lieudit El Mchamiche, Commune de Guerrouma / (W) de Bouira.","3.4681","36.4523","24-Mar-20"
"3A10X046","SOUK EL KHEMIS","2G3G","DRAA EL BALOUT COMMUNE DE SOUK EL KHEMIS BOUIRA","3.6241","36.3867","5-Apr-15"
"3A10X026","DIRAH","2G3G","SIEGE APC DE DIRAH","3.7541","35.9984","25-Mar-15"
"3A10X024","MEZDOUR","2G3G","COMMUNE DE MEZDOUR BOUIRA ","4.0679","36.0794","13-May-15"
"3A10X135","EL HACHIMIA","2G3G","Terrain Particulier sis à la Rue de la Mosquée, Commune d'El Hachimia / (W) de Bouira","3.8151","36.2195","14-Apr-15"
"3A10M164","AOMAR","2G3G","Eurl DMP, Village Boumia, Route Nationale N° 05, Commune d'Aomar / (W) de Bouira ","3.8105","36.4809","8-Nov-15"
"3A10X051","BORDJ OUKHRISS","3G","Reservoir de Bordj Okhriss .W BOUIRA","3.9788","36.0820","12-May-15"
"3A10X106","EL ADJIBA","2G3G","Lieu dit El Koumi section 15 groupe de propriété n° 158 commune d'El Adjiba Bechloul","4.1578","36.3167","13-May-15"
"3A10X120","EL ADJIBA","2G3G","COMMUNE DE LAADJIBA ILOT DE PROPRITE 1580 SECTION 11 LIEU DIT COLINE ROUGE -BOUIRA","4.1192","36.3571","22-Jun-20"
"3A10X092","EL HAKIMIA","2G3G","LIEU DIT EL FAIDH ELKABAILY COMMUNE DE EL HAKIMIA WILAYA DE BOUIRA","3.7701","36.0940","30-Mar-15"
"3A10X075","EL KHABOUZIA","2G3G","COMMUNE DE KHABOUZA DAIRA DE AIN BESSAM BOUIRA","3.6006","36.3142","2-Apr-15"
"3A10X025","AHL EL KSAR","2G3G","Stade municipal de Ahl Lakser – Ahl Lakser - W.Bouira","4.0427","36.2546","25-Mar-15"
"3A10X053","AIN EL HADJAR","2G3G","LOTISSEMENT 30 ILOT N° 06 COMMUNE DE AIN EL HADJAR DAIRA DE OULED BESSAM ","3.8071","36.3401","1-Apr-15"
"3A10X052","TAGUEDIT","2G3G","Village de Taguedit Daira de Sour El Ghozlane .W BOUIRA","3.9861","36.0199","12-May-15"
"3A10X048","DECHMIA","2G3G","COMMUNE DE DECHMIA DAIRA DE SOUR EL GHOZLANE WILAYA DE BOUIRA","3.5756","36.1302","8-Apr-15"
"3A10X079","RIDANE","2G3G","Lieu dit Ain Ben Amara commune de Redane Bouira","3.4577","36.0724","31-Mar-15"
"3A10WX155","BECHLOUL","3G","Villa N°01, Lotissement N°07 POS URB1, Bechloul Centre, Commune de Bechloul / (W) de Bouira ","4.0705","36.3118","30-Mar-16"
"3A10X078","MAAMORA","2G3G","Lieu dit Al Bahdjer vilage Oued Ridane commune de Maamoura","3.5487","36.0323","1-Apr-15"
"3A10X081","AIN LALOUI","2G3G","25 RUE MESSOUM LAID AIN LALOUI W.BOUIRA","3.7492","36.3212","1-Apr-15"
"3A10X077","HADJERA ZERGA","2G3G","Commune de Hadjera Zerga au lieu dit Alèb . W BOUIRA","3.8508","35.9599","12-May-15"
"3A10X080","OUED EL BERDI","2G3G","Oued El berdi Centre El Hachimia Bouira","3.9203","36.2908","7-Apr-15"
"3A10X189","BOUIRA","3G","Terrain sis au Lieudit Ouled Boutoula, Groupe de Proriété N° 1539, Section 15, Commune de Bouira / (W) de Bouira"," 3.878918"," 36.35872","30-Jan-22"
"3A10X042","LAKHDARIA","2G3G","CITE TALIOUINE KADIRIA BOUIRA ","3.6688","36.5406","17-Dec-21"
"3A10X193","AOMAR","3G4G","Terrain sis au Lieudit Zeboudja, Village Memaoucha, Commune d'Aomar / (W) de Bouira","3.7947","36.4599","10-Nov-22"
"A10X015","AIT LAAZIZ","2G","THACHACHITH NADOUR, COMMUNE AIT LAAZIZ","3.90745","36.4598","30/07/2003"
"A10M060","LAKHDARIA","2G","Micro - marché lakhdaria, Rue Cpte Si Abdellah – Lakhdaria – Bouira","3.58792","36.56466","29/07/2006"
"A10M057","BOUIRA","2G","Hai harket rue ain bessam W . BEJAIA","3.88577","36.37237","13/11/2006"
"A10M058","bouiRA","2G","DERAA EL BORJ EST N°3 W . BOUIRA","3.89622","36.37342","30/09/2006"
"A10M061","LAKHDARIA","2G","RUE SIDI LAKDAR ENFACE APC LAKHDARIA . BOUIRA","3.59528","36.56455","17/10/2006"
"A10X067","AOMAR","2G","N°97 COMMUNE AOMAR DAIRA KADIRIA ","3.76977","36.49522","20/06/2006"
"A10X101","OULED SIDI BRAHIM","2G","Lieu dit Thamizount Village El Feth commune de Ouled Brahim, BBA","4.3668","36.27831","30/06/2007"
"A10X102","DIRAH","2G"," VILLAGE ELDJAAFIRA COMMUNE DE DIRAH WILAYA DE BOUIRA","3.74698","36.07889","12/11/2007"
"A10X108","AGHBALOU","2G","Lieu dit Seloum commune de Ghbalou Mechdallah ","4.3106","36.4151","28/10/2007"
"A10X109","SOUR EL GHOZLANE","2G","Terrain Domanial, sis au Col Bekouche, Commune de Sour El Ghozlane / (W) de Bouira","3.7233","36.172","10/10/2007"
"A10X110","EL HACHIMIA","2G","Terrain Particulier sis à Ouled El Hadj Ali, Commune d'El Hachimia / (W) de Bouira","3.829","36.2609","05/08/2007"
"A10X143","BOUDERBALA","2G","LIEU DIT DRAA VILLAGE ARKOUB COMMUNE DE BOUDERBALA-BOUIRA","3.5029","36.5988","23/04/2009"
"A10X162","MEZDOUR","2G","Terrain sis au Lieudit Khrachiche, Commune de Mezdour, Daïra de Bordj Oukhris / (W) de Bouira","4.04398","36.02003","08/06/2015"
"A10X178","SOUK EL KHEMIS","2G","Terrain sis à Souk El Khemis Centre, Commune de Souk El Khemis / (W) de Bouira","3.638142","36.385353","12/12/2021"
"A10X021","BIR GHBALOU","2G","Villa sise à la Rue Touag Lamri, Commune de Bir Ghbalou / (W) de Bouira","3.58385","36.26352","02/10/2022"
